accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
2,1,1,1,1,3,"52,38","4,88",2,"5,00","1,31",0,1,0,0,Mid-High
2,2,1,1,1,1,"52,37","4,89",2,"33,00","1,09",1,0,1,0,Low
2,1,1,3,2,3,"52,38","4,87",2,"23,00","2,04",0,0,1,0,Low
2,1,1,1,2,1,"52,35","4,86",2,"2,00","4,17",0,1,0,0,Low
2,1,1,2,1,2,"52,37","4,87",1,"51,00","1,95",0,0,1,0,Low
2,1,1,1,1,1,"52,32","4,94",2,"0,00","7,21",1,0,1,0,Low
2,1,1,1,1,1,"52,36","4,87",4,"7,00","2,82",0,1,0,0,Low
2,2,2,3,1,3,"52,35","4,92",2,"1,00","3,12",1,1,0,0,Low
4,1,2,1,1,1,"52,37","4,88",3,"35,00","1,45",0,1,0,0,Mid-High
4,2,2,2,1,2,"52,37","4,89",3,"15,00","0,83",0,1,0,0,Highest
4,1,3,1,1,1,"52,38","4,87",2,"8,00","2,20",0,1,0,0,Mid-High
2,1,2,1,1,2,"52,34","4,90",2,"8,00","3,91",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,94",4,"7,00","4,20",0,0,1,0,Low
4,1,2,3,4,3,"52,38","4,88",3,"22,00","1,64",0,1,0,0,Mid-High
2,1,0,1,1,1,"52,33","4,95",2,"18,00","6,72",0,1,0,0,Low
2,1,0,28,1,29,"52,37","4,90",2,"1,00","1,41",0,1,0,0,Low
2,1,1,1,2,1,"52,36","4,89",3,"2,00","1,79",0,1,0,0,Low
3,1,1,6,2,6,"52,36","4,90",1,"5,00","1,86",1,1,0,0,Low
4,1,3,1,2,1,"52,35","4,91",2,"235,00","3,11",0,0,1,0,Low
5,1,3,1,1,1,"52,36","4,87",3,"0,00","3,10",0,1,0,0,Highest
2,1,1,1,1,1,"52,37","4,93",1,"14,00","2,68",1,0,1,0,Low
6,2,2,1,4,1,"52,35","4,93",2,"4,00","3,75",0,1,0,0,Mid-High
6,3,3,1,1,1,"52,34","4,87",1,"0,00","4,58",0,1,0,0,Highest
2,1,1,1,1,1,"52,38","4,83",2,"0,00","4,43",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,87",3,"23,00","3,20",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,94",2,"18,00","2,87",0,0,1,0,Low
2,1,1,1,2,1,"52,36","4,86",1,"14,00","3,67",0,0,1,0,Mid-High
6,2,3,1,1,1,"52,40","4,91",1,"4,00","2,05",0,1,0,0,Mid-High
2,1,1,3,1,3,"52,36","4,90",2,"67,00","1,70",0,0,1,0,Low
2,2,1,1,1,1,"52,36","4,92",1,"7,00","3,07",0,0,1,0,Low
1,2,1,1,1,1,"52,35","4,94",15,"0,00","3,98",1,0,1,0,Low
2,1,0,1,1,1,"52,36","4,84",3,"12,00","4,38",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,88",5,"5,00","1,54",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,86",1,"1,00","4,21",1,0,1,0,Low
