accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
4,1,2,1,1,1,"52,38","4,89",1,"7,00","0,38",0,1,0,0,Mid-High
4,2,2,3,4,3,"52,37","4,87",4,"67,00","2,11",0,1,0,0,Mid-High
4,2,1,1,1,1,"52,36","4,94",3,"2,00","3,08",0,1,0,0,Mid-High
6,1,3,1,1,1,"52,35","4,92",2,"1,00","3,34",0,1,0,0,Mid-High
6,2,2,1,1,2,"52,38","4,94",3,"61,00","3,08",0,1,0,0,Mid-High
4,1,2,1,2,1,"52,36","4,90",3,"1,00","1,61",0,1,0,0,Mid-High
4,2,2,3,1,3,"52,37","4,90",2,"31,00","1,02",0,1,0,0,Mid-High
4,2,4,1,4,1,"52,39","4,93",3,"5,00","2,57",0,1,0,0,Mid-High
4,2,2,1,2,1,"52,38","4,88",2,"20,00","1,00",0,1,0,0,Mid-High
4,1,2,1,3,1,"52,37","4,89",2,"3,00","0,82",1,1,0,0,Mid-High
5,1,3,1,1,1,"52,37","4,95",5,"0,00","3,50",0,1,0,0,Mid-High
6,1,4,2,4,2,"52,33","4,90",2,"13,00","5,27",0,1,0,0,Mid-High
4,2,2,3,2,3,"52,37","4,88",3,"3,00","1,44",0,1,0,0,Mid-High
4,2,2,1,1,2,"52,36","4,90",3,"0,00","1,91",0,1,0,0,Highest
4,3,2,1,1,1,"52,38","4,88",2,"7,00","1,48",0,1,0,0,Mid-High
4,1,2,1,2,1,"52,35","4,90",1,"8,00","3,71",0,1,0,0,Mid-High
4,2,2,1,1,1,"52,35","4,89",5,"0,00","3,54",0,1,0,0,Mid-High
4,2,2,5,1,5,"52,35","4,91",5,"17,00","3,25",1,1,0,0,Highest
5,2,4,1,1,1,"52,35","4,89",1,"0,00","3,77",0,1,0,0,Mid-High
6,1,3,8,1,8,"52,37","4,90",3,"4,00","0,63",0,1,0,0,Highest
5,1,4,1,1,1,"52,35","4,88",6,"0,00","3,66",0,1,0,0,Mid-High
4,2,4,1,8,1,"52,37","4,94",3,"4,00","2,54",0,1,0,0,Mid-High
6,1,2,1,2,1,"52,36","4,94",1,"55,00","3,38",0,1,0,0,Mid-High
4,1,2,1,1,1,"52,35","4,89",2,"2,00","2,80",0,1,0,0,Mid-High
4,1,2,1,4,1,"52,37","4,87",1,"14,00","1,90",0,1,0,0,Mid-High
6,1,4,1,3,1,"52,35","4,83",3,"6,00","5,63",0,1,0,0,Mid-High
4,2,3,1,1,1,"52,37","4,89",2,"8,00","0,83",0,1,0,0,Mid-High
4,1,2,7,1,9,"52,37","4,90",3,"0,00","0,59",0,1,0,0,Mid-High
6,2,3,1,1,1,"52,35","4,87",7,"0,00","4,24",0,1,0,0,Mid-High
4,1,3,1,1,1,"52,36","4,90",1,"0,00","2,18",1,1,0,0,Mid-High
8,4,6,38,4,43,"52,38","4,89",7,"2,00","0,57",0,1,0,0,Highest
2,2,1,1,1,1,"52,35","4,85",2,"1,00","4,65",0,1,0,0,Mid-High
4,1,3,1,4,1,"52,37","4,88",5,"12,00","1,23",0,1,0,0,Mid-High
4,1,2,2,4,2,"52,37","4,89",7,"1,00","1,48",0,1,0,0,Mid-High
4,3,2,91,1,103,"52,37","4,89",2,"5,00","1,33",1,1,0,0,Highest
5,1,3,1,4,1,"52,35","4,87",3,"0,00","3,23",0,1,0,0,Highest
4,1,1,91,1,103,"52,36","4,85",2,"0,00","3,96",1,1,0,0,Highest
2,1,1,1,1,1,"52,37","4,89",1,"2,00","0,70",0,1,0,0,Highest
3,2,1,1,1,1,"52,37","4,93",3,"0,00","2,33",0,1,0,0,Mid-High
4,1,1,2,2,2,"52,34","4,87",2,"3,00","4,54",0,1,0,0,Mid-High
4,1,2,25,16,27,"52,38","4,88",2,"3,00","1,33",1,1,0,0,Mid-High
5,1,2,1,2,1,"52,37","4,89",2,"0,00","1,05",0,1,0,0,Mid-High
4,2,2,1,1,1,"52,37","4,89",2,"1,00","1,19",0,1,0,0,Highest
4,2,2,1,2,1,"52,36","4,89",3,"9,00","2,65",0,1,0,0,Mid-High
8,3,4,25,4,27,"52,36","4,87",2,"9,00","3,04",1,1,0,0,Highest
4,2,2,1,2,1,"52,37","4,88",3,"12,00","1,48",0,1,0,0,Mid-High
6,3,4,1,6,1,"52,37","4,87",3,"13,00","2,51",0,1,0,0,Mid-High
8,2,4,1,4,1,"52,35","5,00",2,"10,00","7,73",0,1,0,0,Mid-High
4,1,1,1,4,1,"52,37","4,90",2,"45,00","0,57",0,1,0,0,Mid-High
4,1,3,10,1,10,"52,36","4,90",2,"34,00","2,40",0,1,0,0,Mid-High
6,1,2,3,4,3,"52,38","4,88",2,"16,00","1,36",1,1,0,0,Highest
8,1,4,1,1,1,"52,37","4,86",4,"5,00","2,49",0,1,0,0,Mid-High
4,2,2,1,2,1,"52,37","4,88",3,"6,00","1,40",0,1,0,0,Highest
4,2,3,1,1,1,"52,38","4,89",3,"0,00","0,62",0,1,0,0,Highest
4,2,5,1,2,1,"52,37","4,95",2,"0,00","3,38",1,1,0,0,Highest
4,1,2,1,2,1,"52,38","4,87",2,"0,00","1,80",0,1,0,0,Mid-High
4,1,2,1,1,1,"52,36","4,92",3,"1,00","2,03",0,1,0,0,Mid-High
4,2,3,25,4,27,"52,35","4,85",2,"8,00","4,07",1,1,0,0,Mid-High
6,2,3,1,1,1,"52,35","4,90",2,"0,00","3,77",0,1,0,0,Mid-High
4,1,3,2,4,2,"52,37","4,95",4,"3,00","3,31",0,1,0,0,Mid-High
6,2,4,1,4,1,"52,35","4,88",3,"3,00","3,19",0,1,0,0,Mid-High
4,2,2,1,1,1,"52,39","4,87",3,"6,00","2,15",1,1,0,0,Highest
4,1,2,3,1,3,"52,36","4,90",2,"20,00","1,66",0,1,0,0,Mid-High
12,2,4,1,6,1,"52,39","4,91",2,"8,00","1,82",1,1,0,0,Mid-High
4,1,3,1,1,1,"52,35","4,90",3,"12,00","3,38",0,1,0,0,Mid-High
10,3,5,1,6,1,"52,38","4,88",3,"31,00","1,00",0,1,0,0,Highest
8,3,3,2,1,2,"52,36","4,99",2,"1,00","6,71",0,1,0,0,Mid-High
4,2,4,1,4,2,"52,37","4,88",4,"6,00","1,77",0,1,0,0,Mid-High
4,1,2,1,4,1,"52,35","4,90",1,"16,00","3,12",0,1,0,0,Mid-High
4,2,4,5,4,7,"52,36","4,89",3,"25,00","1,93",0,1,0,0,Mid-High
4,1,2,1,1,1,"52,38","4,90",2,"3,00","0,28",1,1,0,0,Mid-High
4,2,2,1,1,1,"52,39","4,89",3,"0,00","1,19",0,1,0,0,Mid-High
4,1,3,1,4,1,"52,35","4,89",2,"33,00","3,33",0,1,0,0,Highest
4,1,2,1,1,1,"52,39","4,89",2,"0,00","1,01",0,1,0,0,Highest
4,2,2,1,1,1,"52,37","4,88",3,"20,00","1,64",0,1,0,0,Mid-High
4,1,3,2,1,2,"52,37","4,87",5,"5,00","1,99",0,1,0,0,Mid-High
4,3,2,1,1,1,"52,35","4,90",2,"22,00","2,72",0,1,0,0,Mid-High
4,1,2,1,2,1,"52,36","4,90",2,"0,00","2,17",0,1,0,0,Mid-High
1,1,1,1,1,1,"52,35","4,89",1,"0,00","3,19",0,0,1,0,Mid-High
4,1,2,1,1,1,"52,38","4,89",3,"12,00","0,84",0,1,0,0,Mid-High
4,1,1,1,1,1,"52,35","4,89",5,"0,00","3,04",1,1,0,0,Mid-High
4,1,3,2,1,2,"52,37","4,84",1,"1,00","4,47",0,1,0,0,Mid-High
6,2,4,1,1,1,"52,34","4,85",2,"5,00","5,42",0,1,0,0,Mid-High
4,2,2,2,1,2,"52,37","4,90",2,"7,00","0,74",0,1,0,0,Highest
2,1,1,4,1,4,"52,40","4,90",1,"5,00","2,38",1,1,0,0,Mid-High
7,2,5,1,1,1,"52,34","4,85",1,"4,00","5,71",0,1,0,0,Mid-High
6,1,3,1,1,1,"52,34","4,95",3,"9,00","5,24",0,1,0,0,Mid-High
5,2,4,1,4,1,"52,36","4,90",3,"14,00","2,09",0,1,0,0,Highest
4,1,1,8,2,8,"52,37","4,90",3,"1,00","0,60",0,1,0,0,Mid-High
6,3,3,1,1,1,"52,37","4,94",5,"0,00","3,04",0,1,0,0,Mid-High
4,2,3,1,4,2,"52,37","4,86",4,"24,00","2,87",0,1,0,0,Mid-High
4,3,3,2,1,2,"52,37","4,89",2,"25,00","1,50",1,1,0,0,Highest
4,1,2,91,1,103,"52,38","4,88",2,"6,00","1,24",1,1,0,0,Mid-High
3,1,1,1,2,1,"52,37","4,88",2,"26,00","1,36",0,1,0,0,Mid-High
2,2,1,2,1,3,"52,36","4,88",2,"19,00","2,49",0,1,0,0,Mid-High
6,1,2,1,5,1,"52,36","4,84",2,"0,00","4,71",0,1,0,0,Mid-High
6,1,3,1,2,1,"52,35","4,94",2,"11,00","4,36",0,1,0,0,Highest
8,2,4,2,6,2,"52,31","4,95",2,"7,00","9,01",0,1,0,0,Highest
6,2,3,18,1,25,"52,37","4,88",7,"0,00","1,44",0,1,0,0,Mid-High
5,1,2,1,1,1,"52,39","4,94",2,"0,00","2,98",0,1,0,0,Mid-High
5,1,3,1,4,1,"52,35","4,88",2,"16,00","3,38",0,1,0,0,Mid-High
5,2,2,91,1,103,"52,38","4,94",2,"1,00","3,08",1,1,0,0,Mid-High
10,4,4,1,7,1,"52,37","4,91",2,"0,00","1,09",1,1,0,0,Mid-High
8,1,4,1,1,1,"52,35","5,00",3,"1,00","7,86",0,0,1,0,Mid-High
4,1,2,1,4,1,"52,37","4,88",2,"6,00","1,83",1,1,0,0,Mid-High
6,2,4,1,6,1,"52,33","4,86",7,"0,00","6,16",0,1,0,0,Highest
4,1,2,50,1,106,"52,38","4,88",3,"6,00","1,17",0,1,0,0,Mid-High
6,1,2,1,1,1,"52,36","4,84",2,"1,00","4,53",1,1,0,0,Mid-High
6,2,3,1,6,2,"52,37","4,93",2,"19,00","2,32",0,1,0,0,Mid-High
6,2,2,1,4,1,"52,38","4,94",3,"30,00","2,99",0,0,1,0,Mid-High
5,2,4,1,4,1,"52,37","4,87",1,"39,00","1,91",0,1,0,0,Mid-High
4,3,3,1,4,1,"52,35","4,91",7,"1,00","3,24",1,1,0,0,Highest
3,1,0,91,2,103,"52,36","4,89",2,"0,00","2,10",1,1,0,0,Highest
4,2,2,1,1,1,"52,37","4,88",2,"0,00","1,87",0,1,0,0,Highest
4,1,2,1,1,1,"52,37","4,90",1,"6,00","0,73",0,1,0,0,Mid-High
5,1,3,1,1,1,"52,39","4,94",3,"0,00","3,00",0,1,0,0,Mid-High
4,1,3,1,1,1,"52,34","4,90",4,"27,00","3,96",0,1,0,0,Mid-High
4,2,3,1,1,1,"52,35","4,91",2,"1,00","3,08",0,1,0,0,Mid-High
4,1,2,1,2,1,"52,38","4,88",3,"95,00","1,58",1,1,0,0,Mid-High
4,1,3,1,2,1,"52,38","4,86",2,"40,00","2,69",0,1,0,0,Mid-High
4,2,3,1,1,1,"52,36","4,86",3,"0,00","3,38",0,1,0,0,Mid-High
4,2,2,3,4,3,"52,37","4,88",2,"3,00","1,62",0,1,0,0,Highest
8,2,4,2,4,2,"52,36","4,88",2,"25,00","2,33",0,1,0,0,Highest
5,1,2,2,5,2,"52,37","4,88",2,"7,00","1,41",0,1,0,0,Mid-High
4,1,2,1,1,1,"52,37","4,90",3,"15,00","1,14",0,1,0,0,Mid-High
6,2,4,2,4,2,"52,36","4,86",4,"0,00","3,86",0,1,0,0,Highest
4,1,1,1,2,1,"52,37","4,88",3,"11,00","1,47",0,1,0,0,Mid-High
4,1,2,1,1,1,"52,34","4,85",2,"1,00","5,25",0,1,0,0,Mid-High
4,1,2,1,4,1,"52,36","4,90",2,"66,00","2,03",0,1,0,0,Mid-High
6,2,2,1,1,1,"52,35","4,89",3,"0,00","2,93",0,1,0,0,Mid-High
4,1,2,1,4,1,"52,38","4,88",1,"51,00","1,60",0,1,0,0,Mid-High
4,2,1,2,1,2,"52,37","4,91",3,"4,00","1,46",1,0,1,0,Mid-High
3,2,1,1,1,1,"52,37","4,89",2,"0,00","1,17",0,1,0,0,Mid-High
5,2,3,1,4,1,"52,36","4,86",1,"17,00","3,29",0,1,0,0,Highest
4,1,2,1,1,1,"52,36","4,91",3,"0,00","2,04",0,1,0,0,Mid-High
6,2,4,1,6,1,"52,36","4,98",1,"4,00","5,88",0,1,0,0,Mid-High
4,1,2,2,1,2,"52,36","4,89",2,"10,00","2,70",0,1,0,0,Mid-High
2,1,4,1,1,1,"52,36","4,88",5,"0,00","3,00",1,1,0,0,Mid-High
6,1,3,1,6,1,"52,35","4,86",2,"27,00","4,35",0,1,0,0,Mid-High
4,1,2,3,1,3,"52,36","4,89",2,"0,00","2,06",0,0,1,0,Mid-High
4,1,2,2,1,2,"52,38","4,88",2,"13,00","1,30",0,1,0,0,Mid-High
4,1,2,91,1,103,"52,37","4,90",2,"1,00","0,53",1,1,0,0,Highest
4,1,2,1,2,1,"52,35","4,91",2,"30,00","3,08",0,1,0,0,Mid-High
7,2,2,2,2,2,"52,37","4,89",2,"0,00","0,66",0,1,0,0,Mid-High
6,2,4,3,4,3,"52,38","4,87",3,"4,00","2,07",0,1,0,0,Mid-High
6,2,3,2,1,2,"52,36","4,87",7,"31,00","2,54",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,37","4,88",3,"19,00","1,59",0,1,0,0,Mid-High
4,3,2,2,1,2,"52,37","4,90",2,"1,00","1,46",0,1,0,0,Mid-High
4,2,3,1,1,1,"52,36","4,87",1,"2,00","2,56",0,1,0,0,Highest
4,1,2,1,1,1,"52,36","4,85",3,"2,00","3,95",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,36","4,87",2,"0,00","3,06",0,1,0,0,Mid-High
6,1,3,4,1,4,"52,37","4,91",3,"47,00","1,31",0,0,1,0,Mid-High
4,1,2,1,1,1,"52,37","4,88",5,"0,00","2,22",0,1,0,0,Mid-High
6,2,3,1,1,1,"52,38","4,89",2,"2,00","0,76",1,1,0,0,Highest
8,2,4,1,1,1,"52,37","4,95",2,"33,00","3,57",0,1,0,0,Mid-High
4,2,4,1,5,1,"52,34","4,90",3,"5,00","4,05",0,1,0,0,Highest
6,1,2,2,4,2,"52,37","4,88",1,"3,00","1,49",0,1,0,0,Mid-High
4,1,2,1,1,1,"52,35","4,89",2,"3,00","3,05",0,1,0,0,Highest
6,1,3,1,1,1,"52,35","4,91",4,"3,00","3,05",0,1,0,0,Mid-High
4,4,2,1,1,1,"52,37","4,88",2,"23,00","1,33",0,1,0,0,Highest
6,1,4,1,1,1,"52,37","4,88",2,"65,00","1,34",1,1,0,0,Mid-High
4,2,1,20,2,24,"52,39","4,87",3,"3,00","2,41",0,1,0,0,Mid-High
4,2,2,91,1,103,"52,35","4,85",2,"0,00","4,50",1,1,0,0,Highest
6,1,3,1,4,1,"52,37","4,89",2,"19,00","1,03",1,1,0,0,Highest
8,2,4,1,1,1,"52,35","4,90",1,"1,00","3,51",0,1,0,0,Highest
16,2,0,1,10,6,"52,43","4,96",2,"0,00","6,62",1,1,0,0,Highest
10,1,1,1,8,1,"52,39","4,91",3,"6,00","1,81",0,1,0,0,Highest
4,2,3,1,3,1,"52,37","4,89",3,"19,00","1,49",0,1,0,0,Highest
4,2,2,1,1,1,"52,38","4,88",2,"0,00","1,58",0,1,0,0,Highest
6,2,3,3,6,3,"52,37","4,86",3,"6,00","2,62",0,1,0,0,Highest
4,2,2,1,2,1,"52,36","4,90",3,"1,00","2,53",1,1,0,0,Highest
6,2,2,3,4,3,"52,36","4,89",2,"2,00","2,07",0,1,0,0,Highest
12,2,5,1,8,1,"52,35","4,88",2,"80,00","3,29",0,1,0,0,Highest
12,1,0,1,1,1,"52,35","5,01",2,"12,00","7,77",0,1,0,0,Highest
5,2,4,1,1,1,"52,39","4,90",5,"1,00","0,77",0,1,0,0,Highest
8,2,3,1,6,1,"52,37","4,95",2,"0,00","3,55",0,1,0,0,Highest
5,2,4,1,4,1,"52,36","4,88",2,"16,00","1,98",0,1,0,0,Highest
4,1,2,2,1,2,"52,37","4,90",3,"22,00","1,53",0,1,0,0,Highest
8,1,3,1,2,2,"52,36","4,90",2,"27,00","2,35",0,1,0,0,Highest
4,2,2,1,1,1,"52,38","4,89",2,"18,00","0,55",0,1,0,0,Highest
4,2,4,1,4,1,"52,36","4,89",3,"0,00","2,00",1,1,0,0,Highest
4,1,4,1,1,1,"52,35","4,89",2,"15,00","2,83",0,1,0,0,Highest
3,1,2,1,1,1,"52,37","4,87",2,"17,00","2,10",0,1,0,0,Highest
4,2,3,2,1,2,"52,37","4,88",3,"0,00","1,52",0,1,0,0,Highest
8,2,4,1,1,1,"52,37","4,86",2,"22,00","2,97",0,1,0,0,Highest
6,2,4,1,6,1,"52,39","4,94",6,"6,00","2,97",0,1,0,0,Highest
4,2,2,91,1,103,"52,36","4,90",2,"2,00","1,62",1,1,0,0,Highest
4,1,2,1,1,1,"52,36","4,90",3,"0,00","1,76",0,1,0,0,Highest
5,2,3,1,1,1,"52,38","4,87",7,"0,00","1,71",1,1,0,0,Highest
6,1,3,1,4,1,"52,35","4,86",2,"2,00","3,84",0,1,0,0,Highest
2,1,1,91,1,103,"52,38","4,87",2,"0,00","1,83",1,1,0,0,Highest
5,2,3,1,5,2,"52,37","4,92",3,"9,00","2,11",0,1,0,0,Highest
2,1,1,1,1,1,"52,37","4,88",2,"2,00","1,54",0,1,0,0,Highest
4,1,2,8,1,9,"52,37","4,88",3,"8,00","1,43",0,1,0,0,Highest
4,2,4,1,2,1,"52,37","4,88",3,"0,00","2,23",1,1,0,0,Highest
6,2,4,1,1,1,"52,34","4,91",2,"1,00","4,07",0,1,0,0,Highest
8,2,4,2,5,2,"52,37","4,87",4,"4,00","2,33",0,1,0,0,Highest
6,2,4,1,1,1,"52,35","4,88",3,"8,00","2,97",0,1,0,0,Highest
4,3,6,1,1,1,"52,36","4,89",7,"28,00","1,95",1,0,1,0,Highest
16,3,7,1,15,3,"52,39","4,88",2,"31,00","1,93",0,1,0,0,Highest
16,2,6,1,1,1,"52,40","4,89",2,"31,00","2,68",0,1,0,0,Highest
4,1,2,91,1,103,"52,38","4,85",2,"1,00","3,08",1,1,0,0,Highest
4,1,2,1,1,1,"52,37","4,90",1,"2,00","0,52",0,1,0,0,Highest
4,2,2,1,2,1,"52,37","4,88",1,"10,00","1,15",0,1,0,0,Highest
16,8,10,3,12,3,"52,40","4,89",1,"2,00","2,35",0,1,0,0,Highest
4,1,3,1,4,1,"52,39","4,93",3,"16,00","2,26",0,1,0,0,Highest
6,1,2,3,4,3,"52,38","4,88",2,"7,00","1,31",1,1,0,0,Highest
6,1,3,1,1,1,"52,35","4,89",3,"19,00","3,33",0,1,0,0,Highest
4,2,2,3,2,3,"52,37","4,88",3,"2,00","1,36",1,1,0,0,Highest
8,2,4,1,4,1,"52,37","4,87",2,"11,00","2,04",0,1,0,0,Highest
6,3,3,2,1,2,"52,36","4,86",2,"1,00","3,32",0,1,0,0,Highest
5,1,2,1,4,1,"52,38","4,88",2,"47,00","1,36",0,1,0,0,Highest
6,1,3,8,1,8,"52,37","4,90",3,"3,00","0,76",0,1,0,0,Highest
6,1,3,1,1,1,"52,37","4,88",3,"1,00","2,20",0,1,0,0,Highest
4,1,1,3,2,3,"52,37","4,90",4,"0,00","1,10",0,1,0,0,Highest
6,2,4,1,1,1,"52,36","4,90",7,"1,00","2,32",0,1,0,0,Highest
16,8,10,3,12,3,"52,40","4,90",1,"9,00","2,27",0,1,0,0,Highest
4,3,2,91,1,103,"52,35","4,94",2,"3,00","3,76",1,1,0,0,Highest
4,1,3,1,4,1,"52,38","4,88",2,"43,00","1,34",0,1,0,0,Highest
4,1,2,1,3,1,"52,36","4,89",3,"22,00","1,75",0,1,0,0,Highest
4,2,4,1,1,1,"52,38","4,88",3,"11,00","1,11",0,1,0,0,Highest
4,1,1,1,2,1,"52,36","4,90",2,"0,00","1,68",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,86",2,"8,00","2,55",0,1,0,0,Medium
4,1,2,1,2,1,"52,38","4,89",3,"1,00","0,60",1,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,86",3,"1,00","4,21",1,1,0,0,Medium
4,1,3,1,1,1,"52,36","4,87",4,"3,00","2,80",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"4,00","3,45",0,1,0,0,Medium
4,1,2,1,1,1,"52,39","4,88",5,"7,00","1,65",0,1,0,0,Medium
4,1,2,1,1,1,"52,35","4,90",2,"3,00","2,82",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"12,00","3,55",0,1,0,0,Medium
4,1,2,1,2,1,"52,35","4,90",2,"7,00","2,86",0,1,0,0,Medium
4,1,0,1,4,1,"52,37","4,89",2,"5,00","1,00",0,1,0,0,Medium
4,1,2,1,4,1,"52,39","4,91",1,"8,00","1,27",0,1,0,0,Medium
4,3,3,2,1,2,"52,35","4,90",2,"23,00","3,08",0,1,0,0,Medium
4,1,3,1,1,1,"52,36","4,86",4,"4,00","3,41",0,1,0,0,Medium
4,1,2,1,4,1,"52,38","4,87",1,"0,00","1,72",0,1,0,0,Medium
4,1,2,2,1,2,"52,35","4,78",1,"1,00","8,64",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",1,"17,00","3,06",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,93",2,"9,00","3,36",0,1,0,0,Medium
2,1,1,1,2,1,"52,35","4,89",3,"7,00","3,30",0,1,0,0,Medium
4,1,2,1,2,1,"52,37","4,92",4,"14,00","1,91",0,1,0,0,Medium
4,1,2,9,2,10,"52,37","4,89",3,"26,00","1,78",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,87",3,"14,00","2,46",0,1,0,0,Medium
5,1,2,1,1,1,"52,38","4,91",2,"2,00","0,65",0,1,0,0,Medium
3,1,1,2,2,3,"52,38","4,90",2,"1,00","0,26",0,1,0,0,Medium
3,1,2,1,1,1,"52,38","4,88",3,"0,00","1,16",0,1,0,0,Medium
2,1,1,4,1,5,"52,35","4,87",4,"5,00","3,35",0,0,1,0,Medium
2,1,1,1,1,3,"52,38","4,88",3,"7,00","1,55",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"1,00","3,46",0,1,0,0,Medium
3,1,2,1,1,1,"52,36","4,87",2,"10,00","2,71",1,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,91",2,"36,00","1,73",0,0,1,0,Medium
4,2,2,1,2,1,"52,37","4,91",3,"37,00","1,03",0,1,0,0,Medium
5,1,2,1,4,1,"52,37","4,86",10,"3,00","2,88",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,87",3,"47,00","3,19",1,1,0,0,Medium
4,1,3,1,1,1,"52,38","4,85",4,"2,00","3,16",0,1,0,0,Medium
2,1,1,1,1,0,"52,36","4,92",2,"1,00","2,93",0,1,0,0,Medium
4,1,2,1,2,1,"52,38","4,86",2,"5,00","2,99",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,89",2,"8,00","1,79",0,1,0,0,Medium
3,1,1,1,1,1,"52,37","4,87",21,"0,00","2,20",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,89",2,"8,00","1,26",0,1,0,0,Medium
4,1,2,1,2,1,"52,36","4,86",2,"18,00","3,38",0,1,0,0,Medium
2,1,1,1,2,1,"52,35","4,94",3,"1,00","3,93",0,0,1,0,Medium
4,2,3,2,4,2,"52,36","4,93",2,"5,00","2,89",0,1,0,0,Medium
4,1,1,9,2,11,"52,36","4,90",7,"7,00","2,51",1,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,92",3,"2,00","3,28",0,1,0,0,Medium
2,1,1,1,2,1,"52,37","4,86",2,"4,00","2,76",0,1,0,0,Medium
2,1,1,2,1,3,"52,36","4,88",1,"2,00","2,95",0,0,1,0,Medium
2,1,1,1,1,1,"52,38","4,89",2,"10,00","0,73",0,1,0,0,Medium
4,1,3,1,2,1,"52,36","4,90",3,"10,00","2,64",0,1,0,0,Medium
4,1,2,1,2,1,"52,36","4,88",2,"10,00","2,36",0,1,0,0,Medium
4,1,2,2,2,2,"52,36","4,90",3,"10,00","2,64",0,1,0,0,Medium
4,2,2,25,1,25,"52,36","4,89",2,"6,00","1,74",1,1,0,0,Medium
4,1,1,1,2,1,"52,38","4,87",8,"9,00","1,66",0,1,0,0,Medium
2,1,1,1,2,1,"52,34","4,91",2,"2,00","4,21",0,1,0,0,Medium
2,1,1,2,2,2,"52,37","4,89",4,"40,00","1,41",0,0,1,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"69,00","3,19",1,1,0,0,Medium
4,1,0,1,2,1,"52,35","4,90",1,"0,00","2,95",1,1,0,0,Medium
4,1,1,1,2,1,"52,34","4,91",2,"2,00","4,17",0,1,0,0,Medium
2,2,1,1,1,1,"52,36","4,90",3,"6,00","2,44",0,1,0,0,Medium
3,1,2,2,1,2,"52,38","4,85",3,"0,00","3,30",0,1,0,0,Medium
4,2,2,1,2,1,"52,35","4,90",2,"9,00","2,97",0,1,0,0,Medium
4,1,2,1,3,1,"52,35","4,86",3,"10,00","4,17",0,1,0,0,Medium
4,1,2,2,2,2,"52,37","4,90",1,"331,00","1,37",0,1,0,0,Medium
6,2,3,1,1,1,"52,34","4,78",3,"0,00","9,02",0,1,0,0,Medium
2,1,1,2,1,2,"52,37","4,91",3,"17,00","1,49",0,0,1,0,Medium
4,1,2,1,2,1,"52,37","4,86",2,"10,00","2,82",0,1,0,0,Medium
3,1,2,1,2,1,"52,38","4,88",3,"5,00","1,59",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",4,"0,00","3,10",0,1,0,0,Medium
4,2,1,1,1,1,"52,37","4,87",3,"0,00","2,40",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,91",4,"15,00","2,36",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,86",3,"19,00","2,70",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,94",2,"5,00","3,17",0,1,0,0,Medium
2,1,1,1,1,1,"52,34","4,91",2,"9,00","4,18",0,1,0,0,Medium
5,1,3,1,5,1,"52,34","4,92",3,"1,00","4,41",0,1,0,0,Medium
2,2,0,2,1,3,"52,36","4,89",3,"14,00","2,11",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,86",17,"8,00","2,83",0,1,0,0,Medium
4,1,2,1,2,1,"52,36","4,85",2,"1,00","4,07",0,1,0,0,Medium
5,1,2,2,1,2,"52,37","4,88",4,"0,00","1,67",0,1,0,0,Medium
4,1,1,5,1,5,"52,36","4,89",2,"86,00","2,13",0,1,0,0,Medium
4,1,2,1,3,1,"52,36","4,90",3,"13,00","2,59",0,1,0,0,Medium
4,1,2,4,2,4,"52,37","4,88",7,"8,00","1,89",1,0,1,0,Medium
3,1,1,1,2,1,"52,36","4,86",2,"0,00","3,55",0,1,0,0,Medium
2,1,1,1,1,1,"52,38","4,87",4,"4,00","2,09",0,1,0,0,Medium
2,1,0,1,2,1,"52,37","4,88",2,"60,00","1,44",0,0,1,0,Medium
2,1,1,1,1,1,"52,38","4,85",1,"9,00","3,17",0,0,1,0,Medium
5,2,4,1,1,1,"52,40","4,91",2,"0,00","2,04",0,1,0,0,Highest
6,1,3,1,4,1,"52,42","4,91",7,"2,00","4,66",0,1,0,0,Medium
6,1,2,1,2,1,"52,41","4,91",1,"31,00","3,72",0,1,0,0,Medium
4,2,2,1,2,1,"52,38","4,97",7,"3,00","4,53",0,1,0,0,Medium
2,1,1,1,2,1,"52,38","4,88",3,"205,00","1,69",1,1,0,0,Medium
